iter	RMSE
0	0.3097031282
1	0.3042127429
2	0.2997816025
3	0.2963282369
4	0.2932341711
5	0.2908399001
6	0.2887309589
7	0.2868432419
8	0.28520472
9	0.2839790152
10	0.2829946235
11	0.2820131381
12	0.2811734993
13	0.2804760569
14	0.2798802369
15	0.2792640664
16	0.278753085
17	0.2783132856
18	0.2779518908
19	0.2775790833
20	0.2772556888
21	0.277028454
22	0.2767475309
23	0.2764815131
24	0.2762250288
25	0.2760882401
26	0.2758938278
27	0.2756958508
28	0.2755369814
29	0.2753870757
30	0.2752283348
31	0.2750871071
32	0.2748398752
33	0.2746961568
34	0.2745149513
35	0.2743498155
36	0.274294607
37	0.2741151094
38	0.274016063
39	0.2739220675
40	0.2738328291
41	0.2737418832
42	0.2736781362
43	0.2735568999
44	0.2734730641
45	0.2733667218
46	0.2732498203
47	0.2731917723
48	0.2731077006
49	0.2729886171
50	0.2728962534
51	0.272876032
52	0.2726764172
53	0.2726355722
54	0.2724771872
55	0.2723933383
56	0.2723243672
57	0.2722435502
58	0.272172091
59	0.2720621266
60	0.2719910943
61	0.271936621
62	0.2718841315
63	0.2718457148
64	0.2717871171
65	0.2716795137
66	0.2715917818
67	0.2715531657
68	0.2714837054
69	0.2713218477
70	0.2712250658
71	0.2711927694
72	0.2711558217
73	0.2710829163
74	0.2710432117
75	0.2709732779
76	0.2709399535
77	0.2708210553
78	0.2707525578
79	0.2706750574
80	0.2706105293
81	0.270531386
82	0.2704652429
83	0.2704113691
84	0.270346203
85	0.270316412
86	0.2702218676
87	0.2701597712
88	0.2701497035
89	0.2700539766
90	0.269945321
91	0.2698633357
92	0.2698513833
93	0.2697546314
94	0.2696711109
95	0.2695861327
96	0.2695228661
97	0.2694759437
98	0.2694027056
99	0.269308673
