iter	Passed	Remaining
0	2	211
1	4	201
2	5	193
3	7	173
4	9	175
5	11	175
6	13	181
7	15	182
8	17	180
9	19	178
10	21	175
11	23	174
12	25	171
13	27	167
14	29	165
15	31	163
16	32	160
17	34	158
18	36	155
19	38	154
20	40	152
21	42	151
22	45	152
23	47	151
24	50	150
25	52	148
26	54	146
27	56	144
28	57	141
29	59	138
30	61	136
31	63	134
32	65	132
33	67	130
34	68	128
35	70	125
36	72	123
37	74	120
38	75	118
39	78	117
40	80	115
41	81	113
42	84	111
43	86	109
44	88	107
45	89	105
46	91	103
47	93	101
48	96	100
49	98	98
50	101	97
51	102	94
52	104	92
53	106	90
54	108	88
55	110	86
56	112	84
57	114	83
58	116	81
59	118	79
60	120	77
61	123	75
62	125	73
63	126	71
64	129	69
65	131	67
66	133	65
67	134	63
68	136	61
69	139	59
70	141	57
71	143	55
72	145	53
73	147	51
74	149	49
75	152	48
76	154	46
77	157	44
78	158	42
79	160	40
80	162	38
81	164	36
82	166	34
83	168	32
84	170	30
85	172	28
86	174	26
87	176	24
88	178	22
89	180	20
90	182	18
91	184	16
92	185	13
93	187	11
94	189	9
95	191	7
96	193	5
97	195	3
98	197	1
99	199	0
